Role,Company Name,Salary,Address,Time Left
IT Project Manager,CÔNG TY CỔ PHẦN CÔNG NGHỆ VINOVA,Thoả thuận,Đà Nẵng,Còn 23 ngày để ứng tuyển
IT Comtor N1,CÔNG TY CỔ PHẦN NAL SOLUTIONS,Thoả thuận,Đà Nẵng,Còn 8 ngày để ứng tuyển
Nhân Viên IT Support,CÔNG TY TNHH VISUALVIET,10-15 triệu,Đà Nẵng,Còn 48 ngày để ứng tuyển
Nhân Viên IT,CÔNG TY CỔ PHẦN VẬN TẢI VÀ DỊCH VỤ PHÚ HOÀNG,Thoả thuận,Đà Nẵng,Còn 17 ngày để ứng tuyển
IT Support,CÔNG TY TÀI CHÍNH TRÁCH NHIỆM HỮU HẠN MB SHINSEI,10-20 triệu,"Hà Nội, Đà Nẵng",Còn 7 ngày để ứng tuyển
Nodejs Developer,"BAP IT CO., JSC",Tới 40 triệu,Đà Nẵng,Còn 47 ngày để ứng tuyển
Chuyên Viên Tuyển Dụng (IT Recruiter),CÔNG TY CỔ PHẦN VNEXT SOFTWARE,Thoả thuận,Đà Nẵng,Còn 12 ngày để ứng tuyển
IT Support/Helpdesk,CÔNG TY TNHH DV CNTT TOÀN CẦU,Thoả thuận,Đà Nẵng,Còn 28 ngày để ứng tuyển
Nhân Viên Kỹ Thuật IT Phần Cứng - Mạng,CÔNG TY TNHH MỘT THÀNH VIÊN KHANH ZPZ,5.5-7 triệu,Đà Nẵng,Còn 11 ngày để ứng tuyển
IT Support,CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM,Tới 10 triệu,Đà Nẵng,Còn 24 ngày để ứng tuyển
IT - Support,CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM,Tới 10 triệu,Đà Nẵng,Còn 24 ngày để ứng tuyển
Nhân Viên IT - Đà Nẵng,CÔNG TY TNHH VACS VIỆT NAM,8-10 triệu,Đà Nẵng,Còn 4 ngày để ứng tuyển
Chuyên Viên IT Kiêm Bảo Trì Tại Liên Chiểu Đà Nẵng,CÔNG TY CỔ PHẦN VACXIN VIỆT NAM - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH,Thoả thuận,Đà Nẵng,Còn 17 ngày để ứng tuyển
